Vg	absId	absIg	absIs	Vd	Id	Ig
15.75	8.94772E-07	3.50877E-09	8.97742E-07	5	8.94772E-07	3.50877E-09
15	8.53612E-07	3.11881E-09	8.55765E-07	5	8.53612E-07	3.11881E-09
14.25	8.13704E-07	2.70012E-09	8.15107E-07	5	8.13704E-07	2.70012E-09
13.5	7.73051E-07	2.27013E-09	7.74915E-07	5	7.73051E-07	2.27013E-09
12.75	7.16946E-07	1.86876E-09	7.15574E-07	5	7.16946E-07	1.86876E-09
12	6.56121E-07	1.54769E-09	6.70185E-07	5	6.56121E-07	1.54769E-09
11.25	6.33453E-07	1.21687E-09	6.27042E-07	5	6.33453E-07	1.21687E-09
10.5	5.92779E-07	9.7232E-10	6.06123E-07	5	5.92779E-07	9.7232E-10
9.75	5.68604E-07	7.29565E-10	5.67304E-07	5	5.68604E-07	7.29565E-10
9	5.25504E-07	5.3912E-10	5.25447E-07	5	5.25504E-07	5.3912E-10
8.25	4.84976E-07	3.76472E-10	4.84817E-07	5	4.84976E-07	3.76472E-10
7.5	4.42919E-07	2.55422E-10	4.42615E-07	5	4.42919E-07	2.55422E-10
6.75	4.01601E-07	1.43906E-10	4.02169E-07	5	4.01601E-07	1.43906E-10
6	3.61827E-07	7.207E-11	3.61558E-07	5	3.61827E-07	7.207E-11
5.25	3.20829E-07	8.163E-12	3.20485E-07	5	3.20829E-07	8.163E-12
4.5	2.81289E-07	5.0947E-11	2.80874E-07	5	2.81289E-07	-5.0947E-11
3.75	2.41699E-07	7.9682E-11	2.41043E-07	5	2.41699E-07	-7.9682E-11
3	2.03156E-07	9.6125E-11	2.02652E-07	5	2.03156E-07	-9.6125E-11
2.25	1.6641E-07	1.0584E-10	1.6589E-07	5	1.6641E-07	-1.0584E-10
1.5	1.32501E-07	1.1164E-10	1.32029E-07	5	1.32501E-07	-1.1164E-10
0.75	1.02263E-07	1.11148E-10	1.01838E-07	5	1.02263E-07	-1.11148E-10
0	7.61465E-08	1.13666E-10	7.58154E-08	5	7.61465E-08	-1.13666E-10
-0.75	5.44296E-08	1.15496E-10	5.41622E-08	5	5.44296E-08	-1.15496E-10
-1.5	3.70998E-08	1.1846E-10	3.68652E-08	5	3.70998E-08	-1.1846E-10
-2.25	2.3809E-08	1.18926E-10	2.36038E-08	5	2.3809E-08	-1.18926E-10
-3	1.42021E-08	1.19293E-10	1.40411E-08	5	1.42021E-08	-1.19293E-10
-3.75	7.66822E-09	1.16984E-10	7.52751E-09	5	7.66822E-09	-1.16984E-10
-4.5	3.62146E-09	1.07387E-10	3.51544E-09	5	3.62146E-09	-1.07387E-10
-5.25	1.4284E-09	1.0286E-10	1.33822E-09	5	1.4284E-09	-1.0286E-10
-6	4.68353E-10	9.4142E-11	3.93915E-10	5	4.68353E-10	-9.4142E-11
-6.75	1.47642E-10	7.5693E-11	8.932E-11	5	1.47642E-10	-7.5693E-11
-7.5	6.5739E-11	6.3698E-11	1.6677E-11	5	6.5739E-11	-6.3698E-11
-8.25	4.1623E-11	5.585E-11	1.089E-12	5	4.1623E-11	-5.585E-11
-9	3.2143E-11	4.8908E-11	5.548E-12	5	3.2143E-11	-4.8908E-11
-9.75	2.6949E-11	4.3844E-11	6.834E-12	5	2.6949E-11	-4.3844E-11
-10.5	2.3582E-11	3.9031E-11	6.895E-12	5	2.3582E-11	-3.9031E-11
-11.25	2.052E-11	3.533E-11	6.707E-12	5	2.052E-11	-3.533E-11
-12	1.8802E-11	3.2449E-11	6.433E-12	5	1.8802E-11	-3.2449E-11
-12.75	1.6633E-11	2.953E-11	6.136E-12	5	1.6633E-11	-2.953E-11
-13.5	1.4788E-11	2.7682E-11	5.994E-12	5	1.4788E-11	-2.7682E-11
-14.25	1.3616E-11	2.6316E-11	5.728E-12	5	1.3616E-11	-2.6316E-11
-15	1.2422E-11	2.4342E-11	5.556E-12	5	1.2422E-11	-2.4342E-11
-15.75	1.137E-11	2.3298E-11	5.425E-12	5	1.137E-11	-2.3298E-11
-16.5	1.0429E-11	2.249E-11	5.277E-12	5	1.0429E-11	-2.249E-11
-17.25	9.717E-12	2.1258E-11	5.177E-12	5	9.717E-12	-2.1258E-11
-18	8.918E-12	2.0883E-11	5.088E-12	5	8.918E-12	-2.0883E-11
-18.75	8.459E-12	2.0127E-11	5.074E-12	5	8.459E-12	-2.0127E-11
-19.5	7.964E-12	1.9185E-11	4.955E-12	5	7.964E-12	-1.9185E-11
-20.25	7.408E-12	1.8919E-11	4.869E-12	5	7.408E-12	-1.8919E-11
-21	7.029E-12	1.849E-11	4.736E-12	5	7.029E-12	-1.849E-11
-21.75	6.744E-12	1.7875E-11	4.745E-12	5	6.744E-12	-1.7875E-11
-22.5	6.449E-12	1.751E-11	4.631E-12	5	6.449E-12	-1.751E-11
-23.25	6.437E-12	1.7548E-11	4.606E-12	5	6.437E-12	-1.7548E-11
-24	5.944E-12	1.775E-11	4.504E-12	5	5.944E-12	-1.775E-11
-24.75	6.026E-12	1.6877E-11	4.411E-12	5	6.026E-12	-1.6877E-11
-25.5	5.613E-12	1.6656E-11	4.374E-12	5	5.613E-12	-1.6656E-11
-26.25	5.241E-12	1.6643E-11	4.216E-12	5	5.241E-12	-1.6643E-11
-27	5.202E-12	1.6485E-11	4.237E-12	5	5.202E-12	-1.6485E-11
-27.75	5.332E-12	1.583E-11	4.163E-12	5	5.332E-12	-1.583E-11
-28.5	5.145E-12	1.6073E-11	4.084E-12	5	5.145E-12	-1.6073E-11
-29.25	5.1E-12	1.5989E-11	4.086E-12	5	5.1E-12	-1.5989E-11
-30	5.074E-12	1.6012E-11	4E-12	5	5.074E-12	-1.6012E-11
-30	3.07765E-09	1.92915E-09	1.87231E-09	60	3.07765E-09	-1.92915E-09
-29.25	2.59634E-09	7.94341E-10	1.82508E-09	60	2.59634E-09	-7.94341E-10
-28.5	2.2022E-09	5.01162E-10	1.69881E-09	60	2.2022E-09	-5.01162E-10
-27.75	1.84215E-09	3.19376E-10	1.49681E-09	60	1.84215E-09	-3.19376E-10
-27	1.56164E-09	1.9846E-10	1.31125E-09	60	1.56164E-09	-1.9846E-10
-26.25	1.29438E-09	1.21769E-10	1.12541E-09	60	1.29438E-09	-1.21769E-10
-25.5	1.11927E-09	7.7711E-11	9.791E-10	60	1.11927E-09	-7.7711E-11
-24.75	9.3254E-10	4.9004E-11	8.28995E-10	60	9.3254E-10	-4.9004E-11
-24	7.73749E-10	2.8477E-11	6.93902E-10	60	7.73749E-10	-2.8477E-11
-23.25	6.6127E-10	3.8251E-11	5.87974E-10	60	6.6127E-10	-3.8251E-11
-22.5	5.45488E-10	8.891E-12	4.93238E-10	60	5.45488E-10	-8.891E-12
-21.75	4.4693E-10	6.594E-12	4.06591E-10	60	4.4693E-10	6.594E-12
-21	3.55195E-10	1.1705E-11	3.31233E-10	60	3.55195E-10	1.1705E-11
-20.25	2.9534E-10	1.4642E-11	2.73377E-10	60	2.9534E-10	1.4642E-11
-19.5	2.45769E-10	1.8923E-11	2.27543E-10	60	2.45769E-10	1.8923E-11
-18.75	1.99934E-10	1.9314E-11	1.89469E-10	60	1.99934E-10	1.9314E-11
-18	1.6488E-10	1.9903E-11	1.55911E-10	60	1.6488E-10	1.9903E-11
-17.25	1.36112E-10	1.9694E-11	1.3062E-10	60	1.36112E-10	1.9694E-11
-16.5	1.146E-10	1.7258E-11	1.10609E-10	60	1.146E-10	1.7258E-11
-15.75	9.5909E-11	1.7153E-11	9.3324E-11	60	9.5909E-11	1.7153E-11
-15	8.1358E-11	1.6208E-11	7.9774E-11	60	8.1358E-11	1.6208E-11
-14.25	7.059E-11	1.5354E-11	6.8655E-11	60	7.059E-11	1.5354E-11
-13.5	6.1028E-11	1.5316E-11	6.0063E-11	60	6.1028E-11	1.5316E-11
-12.75	5.4926E-11	1.7318E-11	5.4038E-11	60	5.4926E-11	1.7318E-11
-12	5.081E-11	2.2489E-11	5.2927E-11	60	5.081E-11	2.2489E-11
-11.25	5.633E-11	2.8431E-11	6.101E-11	60	5.633E-11	2.8431E-11
-10.5	8.3206E-11	3.4792E-11	9.1952E-11	60	8.3206E-11	3.4792E-11
-9.75	1.76291E-10	3.7165E-11	1.84029E-10	60	1.76291E-10	3.7165E-11
-9	4.12179E-10	4.0736E-11	4.20459E-10	60	4.12179E-10	4.0736E-11
-8.25	9.3761E-10	5.2569E-11	9.5272E-10	60	9.3761E-10	5.2569E-11
-7.5	1.96846E-09	7.7363E-11	2.01015E-09	60	1.96846E-09	7.7363E-11
-6.75	3.73559E-09	1.1479E-10	3.80548E-09	60	3.73559E-09	1.1479E-10
-6	6.54682E-09	1.48009E-10	6.6123E-09	60	6.54682E-09	1.48009E-10
-5.25	1.084451E-08	1.84941E-10	1.08816E-08	60	1.084451E-08	1.84941E-10
-4.5	1.54086E-08	1.773E-10	1.70821E-08	60	1.54086E-08	1.773E-10
-3.75	2.60943E-08	2.2807E-10	2.63865E-08	60	2.60943E-08	2.2807E-10
-3	3.85001E-08	3.05194E-10	3.87963E-08	60	3.85001E-08	3.05194E-10
-2.25	5.48458E-08	3.47896E-10	5.52187E-08	60	5.48458E-08	3.47896E-10
-1.5	7.57502E-08	4.16175E-10	7.62435E-08	60	7.57502E-08	4.16175E-10
-0.75	1.017824E-07	5.204E-10	1.024627E-07	60	1.017824E-07	5.204E-10
0	1.33606E-07	6.55344E-10	1.34425E-07	60	1.33606E-07	6.55344E-10
0.75	1.71455E-07	7.11255E-10	1.72252E-07	60	1.71455E-07	7.11255E-10
1.5	2.15804E-07	3.85267E-10	2.16555E-07	60	2.15804E-07	3.85267E-10
2.25	2.66476E-07	3.33015E-10	2.66971E-07	60	2.66476E-07	3.33015E-10
3	3.2352E-07	2.40123E-10	3.23777E-07	60	3.2352E-07	2.40123E-10
