Vg	absId	absIg	absIs	Vd	Ig	Id
-14.5	6.62862E-06	5.0749E-09	6.61238E-06	-40	5.0749E-09	-6.62862E-06
-14	5.95599E-06	4.9894E-09	5.94061E-06	-40	4.9894E-09	-5.95599E-06
-13.5	5.33253E-06	5.6646E-09	5.31644E-06	-40	5.6646E-09	-5.33253E-06
-13	4.74082E-06	5.2499E-09	4.72613E-06	-40	5.2499E-09	-4.74082E-06
-12.5	4.19167E-06	5.2252E-09	4.17752E-06	-40	5.2252E-09	-4.19167E-06
-12	3.68164E-06	5.3271E-09	3.6679E-06	-40	5.3271E-09	-3.68164E-06
-11.5	3.21268E-06	5.4702E-09	3.19926E-06	-40	5.4702E-09	-3.21268E-06
-11	2.7838E-06	6.0086E-09	2.76995E-06	-40	6.0086E-09	-2.7838E-06
-10.5	2.39197E-06	6.1385E-09	2.37834E-06	-40	6.1385E-09	-2.39197E-06
-10	2.03317E-06	5.9306E-09	2.02035E-06	-40	5.9306E-09	-2.03317E-06
-9.5	1.71365E-06	6.2152E-09	1.701E-06	-40	6.2152E-09	-1.71365E-06
-9	1.42432E-06	5.8337E-09	1.41281E-06	-40	5.8337E-09	-1.42432E-06
-8.5	1.17311E-06	6.1628E-09	1.16162E-06	-40	6.1628E-09	-1.17311E-06
-8	9.4932E-07	5.8171E-09	9.38416E-07	-40	5.8171E-09	-9.4932E-07
-7.5	7.58481E-07	5.4928E-09	7.49414E-07	-40	5.4928E-09	-7.58481E-07
-7	5.97391E-07	5.3296E-09	5.88995E-07	-40	5.3296E-09	-5.97391E-07
-6.5	4.63775E-07	5.1274E-09	4.56088E-07	-40	5.1274E-09	-4.63775E-07
-6	3.54659E-07	4.9245E-09	3.47669E-07	-40	4.9245E-09	-3.54659E-07
-5.5	2.6787E-07	4.7218E-09	2.6153E-07	-40	4.7218E-09	-2.6787E-07
-5	2.00101E-07	4.5516E-09	1.94363E-07	-40	4.5516E-09	-2.00101E-07
-4.5	1.48756E-07	4.4106E-09	1.43501E-07	-40	4.4106E-09	-1.48756E-07
-4	1.10328E-07	4.2529E-09	1.05519E-07	-40	4.2529E-09	-1.10328E-07
-3.5	8.21951E-08	4.1588E-09	7.76533E-08	-40	4.1588E-09	-8.21951E-08
-3	6.16031E-08	3.82111E-09	5.7564E-08	-40	3.82111E-09	-6.16031E-08
-2.5	4.68769E-08	3.674E-09	4.31038E-08	-40	3.674E-09	-4.68769E-08
-2	3.6389E-08	3.6711E-09	3.27283E-08	-40	3.6711E-09	-3.6389E-08
-1.5	2.85309E-08	3.49093E-09	2.50429E-08	-40	3.49093E-09	-2.85309E-08
-1	2.25313E-08	3.3081E-09	1.92261E-08	-40	3.3081E-09	-2.25313E-08
-0.5	1.8055E-08	3.2617E-09	1.48472E-08	-40	3.2617E-09	-1.8055E-08
0	1.47061E-08	3.3528E-09	1.14999E-08	-40	3.3528E-09	-1.47061E-08
0.5	1.1982E-08	3.19804E-09	8.8548E-09	-40	3.19804E-09	-1.1982E-08
1	9.7762E-09	3.03923E-09	6.78829E-09	-40	3.03923E-09	-9.7762E-09
1.5	8.0281E-09	2.9868E-09	5.16701E-09	-40	2.9868E-09	-8.0281E-09
2	6.70206E-09	3.0587E-09	3.88836E-09	-40	3.0587E-09	-6.70206E-09
2.5	5.69769E-09	3.0403E-09	2.87586E-09	-40	3.0403E-09	-5.69769E-09
3	4.89175E-09	3.0669E-09	2.07566E-09	-40	3.0669E-09	-4.89175E-09
3.5	4.2558E-09	3.0803E-09	1.44663E-09	-40	3.0803E-09	-4.2558E-09
4	3.78139E-09	3.1853E-09	9.4472E-10	-40	3.1853E-09	-3.78139E-09
4.5	3.38644E-09	3.1255E-09	5.5699E-10	-40	3.1255E-09	-3.38644E-09
5	3.07051E-09	3.1278E-09	2.6474E-10	-40	3.1278E-09	-3.07051E-09
